Puerto,Expresion,Resultado,Fecha
63534,6+6,12.0,25-10-2023 19:32:05
57330,5-6,-1.0,25-10-2023 20:26:38
49170,( 5 + 4 ) -3,6.0,26-10-2023 21:48:23
49270,0/0,NaN,26-10-2023 22:21:55
49270,0%0,0.0,26-10-2023 22:22:11
49270,3/0,Infinity,26-10-2023 22:22:17
49270,0/9,0.0,26-10-2023 22:22:22
49270,0/8,0.0,26-10-2023 22:22:46
51120,(6**6)*-10,-10.0,27-10-2023 13:56:20
51120,(6**6)*(-10),0.0,27-10-2023 13:56:38
51120,(6**6)*(-(10)),0.0,27-10-2023 13:57:01
51120,-10,-10.0,27-10-2023 13:57:39
51120,-3-3,-6.0,27-10-2023 13:57:44
51120,-6*-2,-2.0,27-10-2023 13:57:54
51120,-5+2,-3.0,27-10-2023 13:58:47
56448,2 + 2,4.0,27-10-2023 17:45:12
56889,( ( 4/2 ) ** 3 ) +100,108.0,27-10-2023 18:52:54
